Wed Apr 21 14:50:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:52:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:54:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:56:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 14:58:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:00:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:02:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:04:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:06:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:08:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:10:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:12:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:14:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:16:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:18:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:20:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:22:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:24:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:26:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:28:01 -03 2021, Package id 0: +38.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:30:02 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:32:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:34:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:36:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:38:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:40:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:42:01 -03 2021, Package id 0: +35.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:44:01 -03 2021, Package id 0: +36.0°C (high = +74.0°C, crit = +84.0°C)
Wed Apr 21 15:46:01 -03 2021, Package id 0: +37.0°C (high = +74.0°C, crit = +84.0°C)
